"month","Forest","District","RAWS_station","snow_flag","mean_percent","se_percent"
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",11.8333333333333,3.06341360641631
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",11.5673981191223,2.91816454335354
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",11.6509926854754,2.97576664720471
"Sep","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",10.7936507936508,2.53968253968254
"Oct","Klamath National Forest","Goosenest Ranger District","Juanita","no",12.7598566308244,2.64651110279208
"Oct","Klamath National Forest","Goosenest Ranger District","Juanita","yes",12.2990271377368,2.66658486601405
"Oct","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",17.4193548387097,3.1082131685689
"Oct","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",17.258064516129,3.12468849425027
"Oct","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",11.6129032258065,3.57274144641638
"Oct","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",11.6129032258065,3.57274144641638
"Oct","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",14.2795698924731,2.92972043569073
"Oct","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",14.2795698924731,2.92972043569073
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",11.4695340501792,1.82967181949379
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",11.2903225806452,1.84867523664459
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",19.242191500256,3.34685393761406
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",19.242191500256,3.34685393761406
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",13.3064516129032,2.47910099176442
"Oct","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",13.3064516129032,2.47910099176442
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",11.2054329371817,1.7680248275963
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",10.8658743633277,1.81627691407824
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",11.4695340501792,1.82967181949379
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",11.2903225806452,1.84867523664459
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",16.6685205784205,2.95353279097165
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",16.6685205784205,2.95353279097165
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",13.3064516129032,2.47910099176442
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",13.3064516129032,2.47910099176442
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",15.9677419354839,2.28668498044481
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",15.8064516129032,2.2556377937556
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",17.9441804024674,3.48724171517504
"Oct","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",17.9441804024674,3.48724171517504
"Oct","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",28.2642089093702,3.63669450130621
"Nov","Klamath National Forest","Goosenest Ranger District","Juanita","no",12.1541950113379,2.55246620657087
"Nov","Klamath National Forest","Goosenest Ranger District","Juanita","yes",8.55379188712522,1.7192194265448
"Nov","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",10,1.90413523525826
"Nov","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",5.5,1.23957642265507
"Nov","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",2.66666666666667,0.666666666666667
"Nov","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",2.66666666666667,0.666666666666667
"Nov","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",6.44622331691297,2.06147941267485
"Nov","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",3.58908045977011,0.960969855878945
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",6.51979565772669,1.40885045392276
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",3.72924648786718,0.864717950564807
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",9.83495431771294,2.17309471363103
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",9.13686014135789,2.172795037426
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",3.14814814814815,1.15796282969359
"Nov","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",2.73148148148148,0.873762106913969
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",7.12859735545761,1.71290451555163
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",3.57661394866477,0.857820619962114
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",6.51979565772669,1.40885045392276
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",3.72924648786718,0.864717950564807
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",7.53448275862069,2.64543295084636
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",7.36206896551724,2.60562682534771
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",3.14814814814815,1.15796282969359
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",2.73148148148148,0.873762106913969
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",8.83333333333333,2.19349116906632
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",8.66666666666667,2.16835292006742
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",9.0073220637484,1.49193977218856
"Nov","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",8.55277660920294,1.39637869978416
"Nov","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",29.6825396825397,2.71098843631603
"Dec","Klamath National Forest","Goosenest Ranger District","Juanita","no",8.51528783556433,1.78702123074391
"Dec","Klamath National Forest","Goosenest Ranger District","Juanita","yes",2.89554531490015,1.21707238280902
"Dec","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",8.00299070599404,1.37991301619275
"Dec","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",2.31942695791417,0.973534046394078
"Dec","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",1.29032258064516,0.860215053763441
"Dec","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",0.645161290322581,0.645161290322581
"Dec","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",4.75947934352009,1.6612845148137
"Dec","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",0.684776457272213,0.529410185294141
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",5.61197398114961,1.30030659610849
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",1.47218903491305,0.660792343470453
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",4.46412602860944,1.10506110537582
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",2.90207295376438,1.01365061459106
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",3.42741935483871,1.26551248600607
"Dec","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",3.0241935483871,1.12011648655918
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",5.29750404933357,1.31206023086892
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",0.696485373612005,0.40250778550334
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",5.61197398114961,1.30030659610849
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",1.47218903491305,0.660792343470453
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",3.05806451612903,1.22307263731951
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",2.49677419354839,1.00887240971127
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",3.42741935483871,1.26551248600607
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",3.0241935483871,1.12011648655918
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",3.90433815350389,1.38436471833513
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",2.41935483870968,1.36207542596464
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",4.6464348371229,1.4759133993914
"Dec","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",2.17172519730918,1.00500737321805
"Dec","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",19.3548387096774,1.88883885086813
